Scientific Name,English Name,Common Name,SEO Name,Order,Family
Thinocorus orbignyianus orbignyianus,Gray-breasted seedsnipe,Perdicita cojón,Agachona mediana,Charadriiformes,Thinocoridae
Thinocorus rumicivorus rumicivorus,Least seedsnipe,Perdicita,Agachona chica,Charadriiformes,Thinocoridae
Thraupis sayaca,Sayaca tanager,Celestino,Tangara sayaca,Passeriformes,Thraupidae
Tinamotis ingoufi,Patagonian tinamou,Perdiz austral,Kiula patagona,Tinamiformes,Tinamidae
Tinamotis pentlandii,Puna tinamou,Perdiz de la puna,Kiula andina,Tinamiformes,Tinamidae
Tringa flavipes,Lesser yellowlegs,Pitotoy chico,Archibebe patigualdo chico,Charadriiformes,Scolopacidae
Tringa incana,Wandering tattler,Playero gris,Playero de Alaska,Charadriiformes,Scolopacidae
Tringa melanoleuca,Greater yellowlegs,Pitotoy grande,Archibebe patigualdo grande,Charadriiformes,Scolopacidae
Tringa semipalmata inornata,Willet,Playero grande,Playero aliblanco,Charadriiformes,Scolopacidae
Tringa solitaria,Solitary sandpiper,Pitotoy solitario,Andarrios solitario,Charadriiformes,Scolopacidae
Troglodytes aedon chilensis,House wren,Chercán,Chochín criollo,Passeriformes,Troglodytidae
Turdus amaurochalinus,Creamy-bellied thrush,Zorzal argentino,Zorzal chalchalero,Passeriformes,Turdidae
Turdus amaurochalinus,Creamy-bellied thrush,Zorzal argentino,Correlimos medunillo,Passeriformes,Turdidae
Turdus chiguanco chiguanco,Chiguanco thrush,Zorzal negro,Mirlo chiguanco,Passeriformes,Turdidae
Turdus falcklandii magellanicus,Austral thrush,Zorzal,Zorzal patagón,Passeriformes,Turdidae
Tyrannus melancholicus,Tropical kingbird,Benteveo real,Tirano melancólico,Passeriformes,Tyrannidae
Tyrannus savana savana,Fork-tailed flycatcher,Cazamoscas tijereta,Tijereta sabanera,Passeriformes,Tyrannidae
Tyrannus tyrannus,Eastern kingbird,Benteveo blanco y negro,Tirano oriental,Passeriformes,Tyrannidae
Tyto alba tuidara,Barn owl,Lechuza,Lechuza común,Strigiformes,Tytonidae
Upucerthia albigula,White-throated earthcreeper,Bandurrilla de arica,Bandurrita de Arica,Passeriformes,Furnariinae
Upucerthia dumetaria dumetaria,Scale-throated earthcreeper,Bandurrilla,Bandurrita común,Passeriformes,Furnariinae
Upucerthia validirostris jelskii,Buff-breasted earthcreeper,Bandurrilla de la puna,Bandurrita ocrácea,Passeriformes,Furnariinae
Vanellus chilensis chilensis,Southern lapwing,Queltehue,Avefria tero,Charadriiformes,Charadriidae
Vanellus resplendens,Andean lapwing,Queltehue de la puna,Avefria andina,Charadriiformes,Charadriidae
Vireo olivaceus,Red-eyed vireo,Verderón de ojos rojos,Vireo chivi,Passeriformes,Vireonidae
Volatinia jacarina peruviensis,Blue-black grassquit,Negrillo,Semillero volatinero,Passeriformes,Thraupidae
Vultur gryphus,Andean condor,Condor de los andes,Cóndor andino,Cathartiformes,Cathartidae
Xema sabini,Sabine's,Gaviota de sabine,Gaviota de Sabine,Charadriiformes,Larinae
Xenospingus concolor,Slender-billed finch,Pizarrita,Yal picofino,Passeriformes,Thraupidae
Xolmis coronatus,Black-crowned monjita,Monjita coronada,Monjita coronada,Passeriformes,Tyrannidae
Xolmis pyrope pyrope,Fire-eyed diucon,Diucón,Diucón,Passeriformes,Tyrannidae
Xolmis rubetra,Rusty-backed monjita,Monjita castaña,Monjita castaña,Passeriformes,Tyrannidae
Zenaida auriculata auriculata,Eared dove,Tórtola,Zenaida torcaza,Columbiformes,Columbinae
Zenaida meloda,West peruvian dove,Paloma de alas blancas,Zenaida peruana,Columbiformes,Columbinae
Zonotrichia capensis chilensis,Rufous-collared sparrow,Chincol,Chíngolo común,Passeriformes,Emberizidae
Zorzal,Turdus falcklandii magellanicus,Zorzal patagón,Austral thrush,Passeriformes,Turdidae
Zorzal argentino,Turdus amaurochalinus,Zorzal chalchalero,Creamy-bellied thrush,Passeriformes,Turdidae
Zorzal manchado,Hylocichla mustelina,Zorzalito maculado,Wood thrush,Passeriformes,Turdidae
Zorzal tropical,Catharus fuscescens,Zorzalito rojizo,Veery,Passeriformes,Turdidae
Zorzalito de swainson,Catharus ustulatus,Zorzalito de Swainson,Swainson's thrush (olive backed),Passeriformes,Turdidae
