Scientific Name,English Name,Common Name,SEO Name,Order,Family
Columbina picui picui,Picui ground dove,Tortolita cuyana,Columbina picuí,Columbiformes,Peristerinae
Columbina talpacoti,Ruddy ground-dove,Tortolita rojiza,Columbina colorada,Columbiformes,Peristerinae
Conirostrum binghami,Giant conebill,Comesebo gigante,Conirrostro gigante,Passeriformes,Thraupidae
Conirostrum cinereum littorale,Cinereous conebill,Comesebo chico,Conirrostro cinereo,Passeriformes,Thraupidae
Conirostrum tamarugense,Tamarugo conebill,Comesebo de los tamarugales,Conirrostro del Tamarugal,Passeriformes,Thraupidae
Contopus sordidulus,Western wood-pewee,Pibi occidental,Pibí occidental,Passeriformes,Tyrannidae
Coragyps atratus foetens,Black vulture,Jote de cabeza negra,Zopilote negro,Cathartiformes,Cathartidae
Coscoroba coscoroba,Coscoroba swan,Cisne coscoroba,Cisne coscoroba,Anseriformes,Anatinae
Creagrus furcatus,Swallow tailed gull,Gaviota de las galápagos,Gaviota tijereta,Charadriiformes,Larinae
Crotophaga ani,Smooth-billed ani,Matacaballos de pico liso,Garrapatero ani,Cuculiformes,Crotophaginae
Crotophaga sulcirostris,Groove-billed ani,Matacaballos,Garrapatero asurcado,Cuculiformes,Crotophaginae
Curaeus curaeus  curaeus,Austral blackbird,Tordo,Tordo patagón,Passeriformes,Icteridae
Cyanoliseus patagonus bloxami,Burrowing parrot,Tricahue,Loro barranquero,Psittaciformes,Psittacidae
Cygnus melancoryphus,Black-necked swan,Cisne de cuello negro,Cisne cuellinegro,Anseriformes,Anatinae
Daption capense,Cape petrel,Petrel damero,Petrel damero,Procellariiformes,Procellariidae
Dendrocygna autumnalis autumnalis,Black-bellied whistling-duck,Pato silbón de ala blanca,Suirirí piquirrojo,Anseriformes,Dendrocygninae
Dendrocygna bicolor,Fulvous whistling-duck,Pato silbón,Suirirí bicolor,Anseriformes,Dendrocygninae
Dendrocygna viduata,White-faced whistling-duck,Pato silbón pampa,Suirirí cariblanco,Anseriformes,Dendrocygninae
Diglossa brunneiventris,Black-throated flowerpiercer,Comesebo negro,Pinchaflor gorjinegro,Passeriformes,Thraupidae
Diomedea  epomophora,Royal albatross,Albatros real del sur,Albatros real,Procellariiformes,Diomedeidae
Diuca diuca diuca,Common diuca finch,Diuca,Diuca común,Passeriformes,Thraupidae
Dolichonyx oryzivorus,Bobolink,Charlatán,Tordo charlatán,Passeriformes,Icteridae
Dryobates  lignarius,Striped woodpecker,Carpinterito,Pico bataraz grande,Piciformes,Picidae
Egretta caerulea,Little blue heron,Garza azul,Garceta azul,Pelecaniformes,Ardeidae
Egretta thula thula,Snowy egret,Garza chica,Garceta nivea,Pelecaniformes,Ardeidae
Egretta tricolor tricolor,Tricolored heron,Garza tricolor,Garceta tricolor,Pelecaniformes,Ardeidae
Elaenia albiceps chilensis,White-crested elaenia,Fio-fio,Fiofio crestiblanco,Passeriformes,Tyrannidae
Elanus leucurus leucurus,White-tailed kite,Bailarín,Elanio maromero,Accipitriformes,Elaninae
Empidonax alnorum,Alder flycatcher,Mosqueta boreal,Mosquero alisero,Passeriformes,Tyrannidae
Empidonomus aurantioatrocristatus,Crowned slaty flycatcher,Tuquito gris,Tuquito gris,Passeriformes,Tyrannidae
Enicognathus ferrugineus ferrugineus,Austral parakeet,Cachaña,Cotorra cachaña,Psittaciformes,Psittacidae
Enicognathus leptorhynchus,Slender-billed parakeet,Choroy,Cotorra choroy,Psittaciformes,Psittacidae
Eudromia elegans patagonica,Elegant tinamou,Perdiz copetona,Martineta común,Tinamiformes,Tinamidae
Eudyptes chrysocome chrysocome,Southern rockhopper penguin,Pingüino de penacho amarillo,Pingüino saltarrocas,Sphenisciformes,Spheniscidae
Eudyptes chrysolophus,Macaroni penguin,Pingüino macaroni,Pingüino macarrones,Sphenisciformes,Spheniscidae
Eudyptula minor,Little penguin,Pingüino enano,Pingüino enano,Sphenisciformes,Spheniscidae
Eugralla paradoxa,Ochre-flanked tapaculo,Churrín de la mocha,Churrín grande,Passeriformes,Rhinocryptidae
Falco deiroleucus,Orange-breasted falcon,Halcón de pecho naranja,Halcón pechirrojo,Falconiformes,Falconinae
Falco femoralis pichinchae,Aplomado falcon,Halcón perdiguero,Halcón aleto,Falconiformes,Falconinae
Falco peregrinus cassini,Peregrine falcon,Halcon peregrino,Halcón peregrino,Falconiformes,Falconinae
Falco sparverius cinnamominus,Austral kestrel,Cernícalo,Cernícalo americano,Falconiformes,Falconinae
Fregata magnificens,Magnificent frigatebird,Ave fragata,Rabihorcado magnífico,Suliformes,Fregatidae
Fregata minor palmerstoni,Great frigatebird,Ave fragata grande,Rabihorcado grande,Suliformes,Fregatidae
Fregetta grallaria segethi,White-bellied storm-petrel,Golondrina de mar de vientre blanco,Paiño ventriblanco,Procellariiformes,Oceanitidae
Fregetta tropica,Black-bellied storm-petrel,Golondrina de mar de vientre negro,Paiño ventrinegro,Procellariiformes,Oceanitidae
Fulica ardesica,Slate-colored coot,Tagua Andina,Focha Andina,Gruiformes,Rallidae
Fulica armillata,Red gartered coot,Tagua,Focha de ligas,Gruiformes,Rallidae
Fulica cornuta,Horned coot,Tagua cornuda,Focha cornuda,Gruiformes,Rallidae
Fulica gigantea,Giant coot,Tagua gigante,Focha gigante,Gruiformes,Rallidae
Fulica leucoptera,White-winged coot,Tagua chica,Focha aliblanca,Gruiformes,Rallidae
Fulica rufifrons,Red fronted coot,Tagua de frente roja,Focha frentirroja,Gruiformes,Rallidae
Fulmarus glacialis,Northern fulmar,Petrel boreal,Fulmar boreal,Procellariiformes,Precellaridae
Fulmarus glacialoides,Southern fulmar,Petrel plateado,Fulmar austral,Procellariiformes,Procellariidae
Gallinago paraguaiae magellanica,South american  snipe,Becacina,Agachadiza sudamericana,Charadriiformes,Scolopacidae
Gallinago stricklandii,Fuegian snipe,Becacina grande,Agachadiza fueguina,Charadriiformes,Scolopacidae
Gallinula galeata pauxilla,Common gallinule,Tagüita del norte,Gallineta americana,Gruiformes,Rallidae
Garrodia nereis,Grey-backed storm-petrel,Golondrina de mar subantártica,Paiño dorsigris,Procellariiformes,Oceanitidae
Gelochelidon nilotica,Gull-billed tern,Gaviotín pico grueso,Pagaza piconegra,Charadriiformes,Sterninae
Geositta antarctica,Short-billed miner,Minero austral,Minero austral,Passeriformes,Sclerurinae
Geositta cunicularia fissirostris,Common miner,Minero,Minero común,Passeriformes,Sclerurinae
Geositta isabellina,Creamy-rumped miner,Minero grande,Minero grande,Passeriformes,Sclerurinae
Geositta maritima,Grayish miner,Minero chico,Minero gris,Passeriformes,Sclerurinae
Geositta punensis,Puna miner,Minero de la puna,Minero puneño,Passeriformes,Sclerurinae
Geositta rufipennis fasciata,Rufous-banded miner,Minero cordillerano,Minero rojizo,Passeriformes,Sclerurinae
Geositta tenuirostris tenuirostris,Slender-billed miner,Minero de pico delgado,Minero picudo,Passeriformes,Sclerurinae
Geospizopsis plebejus plebejus,Ash-breasted sierra-finch,Plebeyo,Yal plebeyo,Passeriformes,Thraupidae
Geospizopsis unicolor unicolor,Plumbeous sierra-finch,Pájaro plomo,Yal plomizo,Passeriformes,Thraupidae
Geothlypis aequinoctialis,Masked yellowthroat,Arañero cara negra,Mascarita equinoccial,Passeriformes,Parulidae
Geranoaetus melanoleucus australis,Black-chested buzzard-eagle,Águila,Aguila mora,Accipitriformes,Accipitrinae
Geranoaetus polyosoma,Puna hawk,Aguilucho de la puna,Busardo puneño,Falconiformes,Accipitrinae
Geranoaetus polyosoma polyosoma,Red-backed hawk,Aguilucho,Busardo dorsirrojo,Accipitriformes,Accipitrinae
Glaucidium nanum,Austral pigmy owl,Chuncho,Mochuelo patagón,Strigiformes,Strigidae
Glaucidium peruanum,Peruvian pygmy-owl,Chuncho del norte,Mochuelo peruano,Strigiformes,Strigidae
Gygis alba candida,White tern,Gaviotín albo,Charrán blanco,Charadriiformes,Sterninae
Haematopus ater,Blackish oystercatcher,Pilpilén negro,Ostrero negro suramericano,Charadriiformes,Haematopodidae
